NpcParam_ID,Name,field,intended_value(MMV),current_value(mod)
33501930,Crystalian (Spear),chaosMatchingCorrectParamId,0,7740
33501940,Putrid Crystalian (Spear),chaosMatchingCorrectParamId,0,7740
33502154,Crystalian,chaosMatchingCorrectParamId,0,7740
33502920,Crystalian (Staff),chaosMatchingCorrectParamId,0,7740
33502940,Putrid Crystalian (Staff),chaosMatchingCorrectParamId,0,7740
33610062,Putrid Ancestral Follower,chaosMatchingCorrectParamId,0,7710
33610562,Putrid Ancestral Follower,chaosMatchingCorrectParamId,0,7710
33611062,Putrid Ancestral Follower,chaosMatchingCorrectParamId,0,7710
33612062,Putrid Ancestral Follower,chaosMatchingCorrectParamId,0,7710
33619000,Putrid Ancestral Follower,hp,2560,314
33710062,Putrid Ancestral Shaman,chaosMatchingCorrectParamId,0,7710
33711000,Ancestral Follower Shaman CASTLE w/ DROPS,hp,1050,314
33712000,Putrid Ancestral Follower Shaman CASTLE w/DROPS,hp,1050,314
34000040,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34000252,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34000254,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34000256,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34000852,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34000940,Frenzied Grave Warden Duelist (Boss),chaosMatchingCorrectParamId,0,7730
34000952,Putrid Grave Warden Duelist (Boss),chaosMatchingCorrectParamId,0,7730
34001133,Grave Warden Duelist (Auriza Boss),chaosMatchingCorrectParamId,0,7730
34001252,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34001254,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34001256,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34001852,Grave Warden Duelist,chaosMatchingCorrectParamId,0,7730
34500054,Misbegotten,chaosMatchingCorrectParamId,0,7710
34500200,Misbegotten,hp,2640,314
34501052,Winged Misbegotten,chaosMatchingCorrectParamId,0,7710
34501054,Winged Misbegotten,chaosMatchingCorrectParamId,0,7710
34501354,Winged Misbegotten,chaosMatchingCorrectParamId,0,7710
34502012,Misbegotten,chaosMatchingCorrectParamId,0,7710
34502054,Misbegotten,chaosMatchingCorrectParamId,0,7710
34502354,Misbegotten,chaosMatchingCorrectParamId,0,7710
34510052,Scaly Misbegotten,chaosMatchingCorrectParamId,0,7710
34510054,Scaly Misbegotten,chaosMatchingCorrectParamId,0,7710
34510179,Smithing Master Hewg,chaosMatchingCorrectParamId,0,7710
34510354,Scaly Misbegotten,chaosMatchingCorrectParamId,0,7710
34510912,Scaly Misbegotten (Morne Tunnel Boss),chaosMatchingCorrectParamId,0,7710
34519020,Scaly Misbegotten,chaosMatchingCorrectParamId,0,7710
34600012,Leonine Misbegotten,chaosMatchingCorrectParamId,0,7730
34600054,Leonine Misbegotten,chaosMatchingCorrectParamId,0,7730
34600354,Leonine Misbegotten,chaosMatchingCorrectParamId,0,7730
34600913,Leonine Misbegotten (Castle Morne Boss),chaosMatchingCorrectParamId,0,7730
34600930,Misbegotten Warrior,chaosMatchingCorrectParamId,0,7730
34600941,Misbegotten Warrior,chaosMatchingCorrectParamId,0,7730
34601952,Misbegotten Crusader,chaosMatchingCorrectParamId,0,7730
34700268,Bloodbane Albinauric,chaosMatchingCorrectParamId,0,7710
34700352,Snowfield Albinauric,chaosMatchingCorrectParamId,0,7710
34700452,Albinauric,chaosMatchingCorrectParamId,0,7710
34701468,Bloodbane Albinauric,chaosMatchingCorrectParamId,0,7710
34701552,Albinauric,chaosMatchingCorrectParamId,0,7710
34701652,Albinauric,chaosMatchingCorrectParamId,0,7710
34702468,Bloodbane Albinauric,chaosMatchingCorrectParamId,0,7710
34702552,Albinauric,chaosMatchingCorrectParamId,0,7710
34703068,Bloodbane Albinauric,chaosMatchingCorrectParamId,0,7710
34703252,Albinauric,chaosMatchingCorrectParamId,0,7710
34704268,Bloodbane Albinauric,chaosMatchingCorrectParamId,0,7710
34704352,Albinauric,chaosMatchingCorrectParamId,0,7710
34705000,Albinauric Shamshir CASTLE w/DROPS,hp,1050,314
34706000,Albinauric Ripple Axe CASTLE w/DROPS,hp,1050,314
34707000,Albinauric Club CASTLE w/DROPS,hp,1050,314
34708000,Albinauric Halberd CASTLE w/DROPS,hp,1050,314
35000014,Large Skeleton (Spear),chaosMatchingCorrectParamId,0,7700
35000172,Large Skeleton (Spear),chaosMatchingCorrectParamId,0,7700
35000330,Large Skeleton (Spear),chaosMatchingCorrectParamId,0,7700
35001012,Large Skeleton (Crossbow),chaosMatchingCorrectParamId,0,7700
35001014,Large Skeleton (Crossbow),chaosMatchingCorrectParamId,0,7700
35001172,Large Skeleton (Crossbow),chaosMatchingCorrectParamId,0,7700
35002012,Large Skeleton (Scythe),chaosMatchingCorrectParamId,0,7700
35002172,Large Skeleton (Scythe),chaosMatchingCorrectParamId,0,7700
35003012,Large Skeleton (Sword and Shield),chaosMatchingCorrectParamId,0,7700
35003014,Large Skeleton (Sword and Shield),chaosMatchingCorrectParamId,0,7700
35003172,Large Skeleton (Sword and Shield),chaosMatchingCorrectParamId,0,7700
35004172,Large Skeleton (Curved Swords),chaosMatchingCorrectParamId,0,7700
35005032,Large Skeleton (Spear),chaosMatchingCorrectParamId,0,7700
35006032,Large Skeleton (Crossbow),chaosMatchingCorrectParamId,0,7700
35007032,Large Skeleton (Scythe),chaosMatchingCorrectParamId,0,7700
35008032,Large Skeleton (Sword and Shield),chaosMatchingCorrectParamId,0,7700
35009032,Large Skeleton (Curved Swords),chaosMatchingCorrectParamId,0,7700
35500068,Sanguine Noble,chaosMatchingCorrectParamId,0,7730
35500930,Sanguine Noble (Boss),chaosMatchingCorrectParamId,0,7730
35600030,Godskin Apostle,chaosMatchingCorrectParamId,0,7750
35600042,Godskin Apostle,chaosMatchingCorrectParamId,0,7750
35600172,Godskin Apostle {Godskin Duo),chaosMatchingCorrectParamId,0,7750
35600950,Godskin Apostle,chaosMatchingCorrectParamId,0,7750
35600972,Godskin Apostle (Godskin Duo HP),chaosMatchingCorrectParamId,0,7750
35700038,Godskin Noble (Volcano Manor),chaosMatchingCorrectParamId,0,7750
35700172,Godskin Noble (Godskin Duo),chaosMatchingCorrectParamId,0,7750
35700950,Godskin Noble,chaosMatchingCorrectParamId,0,7750
36000052,Alabaster Lord,chaosMatchingCorrectParamId,0,7730
36001052,Onyx Lord,chaosMatchingCorrectParamId,0,7730
36001920,Onyx Lord (Boss),chaosMatchingCorrectParamId,0,7730
36001933,Onyx Lord (Boss),chaosMatchingCorrectParamId,0,7730
36501033,Full-Bloom Guardian,chaosMatchingCorrectParamId,0,7710
36502042,Rotten Guardian,chaosMatchingCorrectParamId,0,7710
36502052,Rotten Guardian,chaosMatchingCorrectParamId,0,7710
36600652,Frenzied Commoner,chaosMatchingCorrectParamId,0,7710
36601070,Commoner,chaosMatchingCorrectParamId,0,7710
36601252,Frenzied Commoner,chaosMatchingCorrectParamId,0,7710
36601333,Death-serving Commoner,chaosMatchingCorrectParamId,0,7710
36602070,Commoner,chaosMatchingCorrectParamId,0,7710
36602152,Frenzied Commoner,chaosMatchingCorrectParamId,0,7710
36602233,Death-serving Commoner,chaosMatchingCorrectParamId,0,7710
36603010,Commoner,chaosMatchingCorrectParamId,0,7710
36603110,Commoner,chaosMatchingCorrectParamId,0,7710
36608033,Commoner (Margit),chaosMatchingCorrectParamId,0,7710
36609006,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609012,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609020,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609022,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609040,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609052,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609114,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609120,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609130,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609140,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609142,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609152,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609162,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609165,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609170,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609510,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36609520,Commoner (Stranded Soul),chaosMatchingCorrectParamId,0,7710
36610033,Putrid Corpse,chaosMatchingCorrectParamId,0,7710
36610039,Putrid Corpse,chaosMatchingCorrectParamId,0,7710
36610040,Putrid Corpse,chaosMatchingCorrectParamId,0,7710
36610054,Putrid Corpse,chaosMatchingCorrectParamId,0,7710
36610140,Putrid Corpse,chaosMatchingCorrectParamId,0,7710
36611030,Putrid Corpse (Maggots),chaosMatchingCorrectParamId,0,7710
36612032,Putrid Corpse (Burning),chaosMatchingCorrectParamId,0,7710
36612132,Putrid Corpse (Burning),chaosMatchingCorrectParamId,0,7710
36613054,Putrid Corpse (Mushroom),chaosMatchingCorrectParamId,0,7710
36613154,Putrid Corpse (Mushroom),chaosMatchingCorrectParamId,0,7710
36613254,Putrid Corpse (Mushroom),chaosMatchingCorrectParamId,0,7710
36619040,Putrid Corpse Ghost,chaosMatchingCorrectParamId,0,7710
36620012,Putrid Corpse (Large),chaosMatchingCorrectParamId,0,7710
36620034,Putrid Corpse (Large) (Leyndell),chaosMatchingCorrectParamId,0,7710
36620054,Putrid Corpse (Large),chaosMatchingCorrectParamId,0,7710
36620140,Putrid Corpse (Large),chaosMatchingCorrectParamId,0,7710
36621140,Putrid Corpse (Large) (Maggots),chaosMatchingCorrectParamId,0,7710
36623054,Putrid Corpse (Large) (Mushroom),chaosMatchingCorrectParamId,0,7710
36623154,Putrid Corpse (Large) (Mushroom),chaosMatchingCorrectParamId,0,7710
36623254,Putrid Corpse (Large) (Mushroom),chaosMatchingCorrectParamId,0,7710
36625068,Putrid Corpse (Large) (Blood),chaosMatchingCorrectParamId,0,7710
36629010,Putrid Corpse (Large),hp,2560,314
36640012,Cemetery Shade (Weeping Peninsula),chaosMatchingCorrectParamId,0,7710
36640035,Cemetery Shade,chaosMatchingCorrectParamId,0,7710
36640040,Cemetery Shade (Boss),chaosMatchingCorrectParamId,0,7710
36640920,Cemetery Shade (Boss),chaosMatchingCorrectParamId,0,7710
36700042,Elder Albinauric,chaosMatchingCorrectParamId,0,7730
36700134,Elder Albinauric (Leyndell),chaosMatchingCorrectParamId,0,7730
36701042,Elder Albinauric Sorcerer,chaosMatchingCorrectParamId,0,7730
36702151,Imprisoned Elder Albinauric,chaosMatchingCorrectParamId,0,7730
36709120,Pidia- Carian Servant,chaosMatchingCorrectParamId,0,7730
36709920,Pidia- Carian Servant,chaosMatchingCorrectParamId,0,7730
37000033,Depraved Perfumer,chaosMatchingCorrectParamId,0,7730
37001030,Depraved Perfumer,chaosMatchingCorrectParamId,0,7730
37010033,Perfumer,chaosMatchingCorrectParamId,0,7730
37011930,Perfumer Tricia,chaosMatchingCorrectParamId,0,7730
37020021,Glintstone Sorcerer,chaosMatchingCorrectParamId,0,7710
37021020,Karolos Glintstone Sorcerer,chaosMatchingCorrectParamId,0,7710
37030033,Page,chaosMatchingCorrectParamId,0,7710
37030034,Page (Leyndell),chaosMatchingCorrectParamId,0,7710
37030052,Page,chaosMatchingCorrectParamId,0,7710
37031034,High Page (Leyndell),chaosMatchingCorrectParamId,0,7710
37040054,Battlemage,chaosMatchingCorrectParamId,0,7730
37040800,Battlemage,chaosMatchingCorrectParamId,0,7730
37040940,Battlemage Hugues (Boss),chaosMatchingCorrectParamId,0,7730
38100056,Kindred of Rot,chaosMatchingCorrectParamId,0,7730
38100932,Kindred of Rot (Boss),chaosMatchingCorrectParamId,0,7730
38101056,Kindred of Rot,chaosMatchingCorrectParamId,0,7730
38102056,Kindred of Rot,chaosMatchingCorrectParamId,0,7730
38102932,Kindred of Rot (Boss),chaosMatchingCorrectParamId,0,7730
38103056,Kindred of Rot,chaosMatchingCorrectParamId,0,7730
38109000,Kindred of Rot,chaosMatchingCorrectParamId,0,7730
38109040,Kindred of Rot,chaosMatchingCorrectParamId,0,7730
39001032,Fire Monk,chaosMatchingCorrectParamId,0,7730
39100050,Fire Prelate,chaosMatchingCorrectParamId,0,7730
39100200,Fire Prelate,chaosMatchingCorrectParamId,0,7730
39101050,Fire Prelate,chaosMatchingCorrectParamId,0,7730
39701910,Beastman of Farum Azula (Limgrave Cave Boss),chaosMatchingCorrectParamId,0,7730
39701942,Armored Beastman of Farum Azula (Boss),chaosMatchingCorrectParamId,0,7730
39702942,Azula Beastman (Boss),chaosMatchingCorrectParamId,0,7730
40200003,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40200022,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40200031,Royal Revenant (Shaded Castle),chaosMatchingCorrectParamId,0,7730
40200035,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40200040,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40200056,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40200130,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40200920,Royal Revenant (Boss),chaosMatchingCorrectParamId,0,7730
40208000,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208022,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208035,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208056,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208100,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208122,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208156,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208200,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208256,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208300,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208356,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208400,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40208456,Royal Revenant,chaosMatchingCorrectParamId,0,7730
40400040,Slug,chaosMatchingCorrectParamId,0,7700
40401032,Magma Slug,chaosMatchingCorrectParamId,0,7700
40700009,Wolf,chaosMatchingCorrectParamId,0,7700
40700013,Wolf,chaosMatchingCorrectParamId,0,7700
40700036,Wolf,chaosMatchingCorrectParamId,0,7700
40700042,Wolf,chaosMatchingCorrectParamId,0,7700
40700052,Wolf,chaosMatchingCorrectParamId,0,7700
40700065,Wolf,chaosMatchingCorrectParamId,0,7700
40700112,Wolf,chaosMatchingCorrectParamId,0,7700
40700152,Wolf,chaosMatchingCorrectParamId,0,7700
40700550,Wolf,chaosMatchingCorrectParamId,0,7700
40701012,Wolf,chaosMatchingCorrectParamId,0,7700
40702010,Wolf,chaosMatchingCorrectParamId,0,7700
40708024,Wolf,chaosMatchingCorrectParamId,0,7700
40710009,White Wolf,chaosMatchingCorrectParamId,0,7700
40710042,White Wolf,chaosMatchingCorrectParamId,0,7700
40710052,White Wolf,chaosMatchingCorrectParamId,0,7700
40710065,White Wolf,chaosMatchingCorrectParamId,0,7700
40710550,White Wolf,chaosMatchingCorrectParamId,0,7700
40800054,Rat,chaosMatchingCorrectParamId,0,7700
40800134,Rat (Leyndell),chaosMatchingCorrectParamId,0,7700
40800210,Rat,chaosMatchingCorrectParamId,0,7700
40809000,Rat,chaosMatchingCorrectParamId,0,7700
40900034,Giant Rat (Leyndell),chaosMatchingCorrectParamId,0,7710
40900042,Giant Rat,chaosMatchingCorrectParamId,0,7710
40900054,Giant Rat,chaosMatchingCorrectParamId,0,7710
40900210,Giant Rat,chaosMatchingCorrectParamId,0,7710
40900352,Giant Rat,chaosMatchingCorrectParamId,0,7710
40909000,Giant Rat,chaosMatchingCorrectParamId,0,7710
41000042,Demi-Human,chaosMatchingCorrectParamId,0,7700
41000212,Demi-Human,chaosMatchingCorrectParamId,0,7700
41000910,Demi-Human,chaosMatchingCorrectParamId,0,7700
41001009,Demi-Human,chaosMatchingCorrectParamId,0,7700
41001042,Demi-Human,chaosMatchingCorrectParamId,0,7700
41001130,Demi-Human,chaosMatchingCorrectParamId,0,7700
41001212,Demi-Human,chaosMatchingCorrectParamId,0,7700
41002042,Demi-Human,chaosMatchingCorrectParamId,0,7700
41002212,Demi-Human,chaosMatchingCorrectParamId,0,7700
41002910,Demi-Human,chaosMatchingCorrectParamId,0,7700
41009000,Demi-Human,chaosMatchingCorrectParamId,0,7700
41009100,Demi-Human,chaosMatchingCorrectParamId,0,7700
41009200,Demi-Human,chaosMatchingCorrectParamId,0,7700
41200009,Demi-Human Chief,chaosMatchingCorrectParamId,0,7710
41200040,Demi-Human Chief,chaosMatchingCorrectParamId,0,7710
41200042,Demi-Human Chief,chaosMatchingCorrectParamId,0,7710
41200910,Demi-Human Chief (Duo Boss),chaosMatchingCorrectParamId,0,7710
41300032,Demi-Human Queen Maggie,chaosMatchingCorrectParamId,0,7750
41301030,Demi-Human Queen Gilika,chaosMatchingCorrectParamId,0,7750
41301932,Demi-Human Queen Margot,chaosMatchingCorrectParamId,0,7750
41500040,Basilisk,chaosMatchingCorrectParamId,0,7700
41600024,Large Stray,chaosMatchingCorrectParamId,0,7700
41600035,Large Stray,chaosMatchingCorrectParamId,0,7700
41610033,Stray,chaosMatchingCorrectParamId,0,7700
41610064,Stray (Siofra River),chaosMatchingCorrectParamId,0,7700
41610212,Stray,chaosMatchingCorrectParamId,0,7700
41610252,Stray,chaosMatchingCorrectParamId,0,7700
41640030,Large Bloodbane Stray,chaosMatchingCorrectParamId,0,7700
41640052,Large Bloodbane Stray,chaosMatchingCorrectParamId,0,7700
41650052,Bloodbane Stray,chaosMatchingCorrectParamId,0,7700
41650068,Bloodbane Stray,chaosMatchingCorrectParamId,0,7700
41650935,Bloodbane Stray (Boss),chaosMatchingCorrectParamId,0,7700
41660042,Large Rotten Stray,chaosMatchingCorrectParamId,0,7700
41700020,Putrid Flesh,chaosMatchingCorrectParamId,0,7700
41700030,Putrid Flesh,chaosMatchingCorrectParamId,0,7700
41700040,Putrid Flesh,chaosMatchingCorrectParamId,0,7700
41710000,Putrid Flesh (Large),hp,1048,162
41710010,Putrid Flesh (Large),hp,1048,162
41710020,Putrid Flesh (Large) CASTLE w/DROPS,hp,1250,162
41710030,Putrid Flesh GH Castle,hp,748,162
41710400,Giant Putrid Flesh (Blood),chaosMatchingCorrectParamId,0,7700
41710400,Giant Putrid Flesh (Blood),hp,1893,162
41710430,Giant Putrid Flesh (Blood),hp,1893,162
