ID,itemLotId_enemy
30601000,24351000
30601020,23900000
30601030,23330000
30601040,536000110
30610000,587200000
30611000,23970300
31000000,356000000
31500000,27700900
31501000,300000000
31501020,27700900
31810000,451000000
31811000,23350200
32500000,300000000
32500100,27700900
32510000,502000100
32510100,27700900
32511000,300000000
32520000,24460000
32520100,517000100
33000000,24241000
33000010,24351100
33000020,536000000
33000022,463000000
33001000,340000300
33001010,435300000
33001020,536000210
33001100,23350200
33002000,23010000
33002010,451000000
33002020,451000000
33300000,23701000
33500000,22140100
33500010,463000000
33500020,23010100
33500030,23300100
33500040,23800100
33500500,23300100
33501000,536000030
33501010,23330000
33501020,24353000
33501500,24260000
33502000,23701000
33502010,536000120
33502020,227000010
33502500,23800100
33507000,24355000
33507100,536000100
33507200,536000320
33507300,23060000
33509000,587200000
34000000,23010100
34000100,23900100
34000110,435300000
34000200,536000210
34000300,24353100
34000310,23800000
34000700,22140000
34000900,340000100
34001000,23970210
34001100,22140000
34001110,23901000
34001200,536000010
34001300,536000420
34001310,23800100
34600000,536000310
34600030,23060100
34601000,536000310
34715000,22140100
34715100,536000220
34715200,23060100
34715210,24353200
34715300,536000000
34715310,23900000
35500000,24355000
35500020,536000010
35500030,536000010
35500040,587200700
35600000,458003000
35600050,502000100
35600060,458003000
35600100,300000000
35600110,502000000
35600900,27700900
35700000,502000000
35700050,22500000
35700100,27700900
35700110,22500000
36000000,24351000
36000010,24351200
36000020,23670100
36001000,536000200
36001010,435300100
36001020,22140000
36700000,536000110
36700010,536000200
36700020,23910000
36700100,23910100
36700110,22270000
36700120,536000000
36701000,23970000
36701100,22140000
36701200,587200700
36702000,23010000
36702010,23701100
36702100,451000000
36702110,23970210
36702200,587200000
36702210,23010200
36703000,24351100
36703010,463000000
36704000,536000400
36708000,24470200
36708100,536000100
36709000,414000010
36709100,24351200
37000000,24260000
37000030,24353000
37001000,23910000
37010000,23350200
37010010,414000010
37010020,227000010
37011000,23900100
37011010,536000030
37011020,536000320
37040000,23910100
37040020,23810000
37300000,23010100
37300100,22140100
37300200,22270000
37301000,536000310
38000000,23910000
38000030,24351100
38000100,24340000
38000110,536000100
38001000,536000020
38001020,24353000
38001100,536000050
38001110,536000310
38100000,23901000
38100020,587200000
38101000,536000400
38102000,587200700
38103000,23910000
38109000,22140100
39000000,23970000
39000030,23300000
39001000,23800100
39001030,23670100
39010000,24260000
39010010,23901100
39010020,24351100
39011000,435300000
39011010,340000100
39011020,23970000
39100000,23701100
39100100,536000320
39100110,536000420
39100130,536000030
39101000,536000300
39101100,414000010
39700000,536000110
39700010,536000410
39700020,536000050
39700100,23900000
39700110,536000050
39700120,536000310
39700200,24260000
39700300,22270000
39700400,435300100
39700500,340000100
39701000,24340000
39701010,23010100
39701020,24353000
39701100,23350200
39701110,340000300
39701120,23010000
39701130,435300100
39701200,227000010
39702000,22270000
39702010,536000050
39702100,24353200
39702200,24260000
39702210,536000220
39702300,587200000
39702310,24355000
39703000,24351000
39703010,24260000
39703030,536000300
39703100,536000410
39703110,24353200
39709000,24470200
39709010,536000210
40200000,536000000
40200010,536000100
40200100,536000220
40210000,24460000
40210700,517000000
40219000,517000100
41300000,356000000
41301000,502000000
41400000,23910000
41401000,23970210
41402000,536000110
41402100,536000410
41402200,24351200
41403000,536000310
41404000,536000050
41404010,23670100
41409000,451000000
42200000,23800100
42200010,24340000
42410000,451000000
42410010,23910000
42410100,340000100
42600000,23471000
42600010,23970010
42600100,536000050
42600110,22140000
42600500,24355100
42600600,536000410
42600610,536000200
42601000,23010200
42601100,24241000
42601110,23910000
42601500,23910000
42601600,23350200
42601610,23970000
42602000,23970010
42602100,22140100
42602500,23350200
42602600,536000310
42603000,23901000
42603100,22140000
42603500,536000400
42603600,463000000
42604000,536000210
42604100,536000040
42604500,23471000
42604600,24353000
42605000,536000100
42605100,23910000
42605500,536000220
42605600,536000310
42700000,463000000
42700010,536000120
42700700,536000410
42701000,23701100
42900000,536000110
42900020,23910000
42901000,463000000
42909000,23701000
43400000,414000010
43400100,22140100
43400110,536000310
43400200,23810000
43400300,24340000
43400400,536000320
43400500,23800000
43400600,536000120
43401000,536000020
43401010,23970210
43401020,23701000
43401100,536000040
43401110,22140100
43401600,23701000
43401610,23900000
43408000,536000100
43410000,23901100
43411000,23970000
43510000,23800000
43510100,24260000
43511100,24355100
43512000,23010100
43520000,23910100
43520010,536000030
43520020,536000210
43520030,24241000
43521000,23010000
43521010,536000420
43521020,23810000
43521030,23800000
43521100,22140000
43522000,24355100
43529000,536000400
43530000,536000300
43530020,23901000
43530030,24241000
43530100,24260000
43530130,24260000
43530200,24241000
43531000,24355000
43531020,23900000
43531030,23701100
43531100,435300100
43531110,536000220
43531200,536000120
43531300,536000020
43531400,23910000
43532000,23900000
43532020,22140100
43532030,23701000
43532100,536000010
43540000,435300100
43540010,536000200
43540200,536000220
43541000,536000300
43541010,24470200
43541100,536000200
43541200,536000120
43542000,23300000
43542010,23701000
43542200,23900000
43550000,24351000
43550040,23800000
43551000,536000210
43551100,23901100
43552000,587200700
44200000,23970300
44200120,23701100
44201000,536000020
44202000,536000200
44203000,435300000
44204000,24260000
44205000,536000110
44410000,536000310
44500000,24460000
44501000,517000000
44600000,517000000
44600010,517000100
44601000,517000100
44700000,536000120
44701000,23060100
44701100,23970000
44702000,23330000
44800000,24241000
44800010,536000000
44800100,435300100
44800110,587200700
44800200,536000400
44800210,536000100
44800300,23970300
44800400,414000010
44800410,536000400
45000000,23350200
45001000,536000420
45008000,24340000
45010010,23670100
45030000,22500000
45030020,502000000
45040000,458003000
45050000,23010000
45050010,23910100
45050020,23810000
45050030,587200000
45100000,27700900
45101000,300000000
45101100,22500000
45101200,300000000
45102000,502000100
45102100,502000000
45102200,300000000
45500000,24351200
45500010,24470200
45500030,536000100
45501000,24260000
45502000,24351100
45503000,24353100
45504000,23010100
45505000,24355100
45506000,23300000
45506010,23800000
45506020,24340000
45506200,24351200
45506400,23010200
45506600,23901000
45508000,536000030
45508100,536000220
45600000,23970010
45600010,536000020
45600030,23901000
45600040,24353200
45601000,23010200
45601010,536000420
45609000,23300100
45610000,24460000
45610010,517000200
45800000,27700900
45800010,300000000
45801000,300000000
45802000,458003000
45803000,502000000
45803030,502000000
46000000,24353000
46000010,23810000
46000040,24260000
46000099,24353200
46000100,435300100
46000200,23300000
46000220,23701000
46001000,22270000
46003000,23330000
46004000,536000410
46004080,23901100
46004100,23970300
46004110,23300000
46008000,23901000
46010000,24351200
46010100,23010200
46010200,23060000
46020000,536000200
46020010,23330000
46020020,536000300
46020040,536000220
46021000,22270000
46022000,23010000
46030000,24351000
46200000,27700900
46200020,27700900
46201000,502000000
46202000,27700900
46202010,300000000
46209000,22500000
46209100,502000100
46209200,502000100
46209300,502000100
46300000,536000020
46300030,536000220
46400700,300000000
46410000,756000000
46410010,752000000
46500300,502000100
46500900,27700900
46600000,24241000
46600010,23300100
46600020,536000110
46600100,23010100
46601000,23701100
46601100,340000100
46602000,414000010
46602100,23010100
46603000,23010200
46603100,536000320
46604000,536000200
46604100,23010100
46605000,23970010
46605100,23970000
46606000,536000420
46607000,536000100
46608000,24241000
46609000,24470200
46700000,356000000
46700100,22500000
46700200,458003000
46700300,27700900
46700400,356000000
46705000,356000000
46705010,502000100
46800000,502000000
46801000,356000000
46809000,356000000
46900000,23471000
47500000,458003000
47501000,356000000
47509000,356000000
47700000,502000100
47700100,300000000
47700200,502000100
47701000,458003000
47701100,300000000
47701200,27700900
47702000,300000000
47702010,300000000
47709900,27700900
48000000,22500000
48100000,536000200
48100020,22140100
48100100,23900000
48200000,463000000
48200010,23970210
48200100,536000300
49000000,750000000
49000010,752000000
49000040,750000000
49009000,753000000
49010000,752000000
49010010,750000000
49019000,750000000
49100000,24460000
49100100,517000000
49110000,356000000
49500000,300000000
49800000,356000000
49801000,502000100
49801100,502000100
49801110,22500000
50100000,517000100
50110000,300000000
50110020,458003000
50110030,502000000
50200087,502000000
50200187,22500000
50400000,23350200
50400100,23910000
50400120,24351000
50400400,24353100
50400410,23970210
50700000,24241000
50700010,24260000
50700030,23350200
50701000,23701100
50701010,23670100
50701015,23300100
50810000,536000050
50811000,340000100
51600000,227000010
51600010,23060100
51600100,536000000
51600200,24353200
51601000,536000020
51601010,23701100
51601100,23800000
51601200,536000120
51602000,435300100
51602010,536000020
51602100,23901000
51602200,227000010
51602300,227000010
52100000,22500000
52500000,24241000
52500010,23900000
52500030,23670100
52500100,24353000
52501000,23701000
52501030,536000300
52501100,23970210
52501200,340000100
52501220,23010100
52501300,435300100
52501400,536000320
53110000,23800100
53110010,536000200
53110020,23901100
53110100,536000040
53110110,536000310
53110120,23350200
53110200,536000400
53110300,24351100
53111000,24340000
53111010,227000010
53111020,587200700
53111100,24351000
53120000,23060000
53120100,22270000
53200000,22140000
53605000,23300100
53605084,23800100
53606000,23060100
53606084,24470200
53607000,24353100
53607084,23330000
53608000,536000310
53608084,463000000
58100000,458003000
58100900,356000000
58200000,22270000
58600000,22500000
58720100,587200700
71000000,23010100
71000100,24353100
71000110,24351000
75000020,756000000
75000200,458003000
75000210,752000000
75001000,458003000
75001010,458003000
75001020,458003000
75001100,750000000
75001110,751000000
75002000,753000000
75002010,752000000
75002020,751000000
75002100,458003000
75002110,750000000
75002200,753000000
75002210,752000000
75003000,750000000
75003010,751000000
75003020,751000000
75003100,750000000
75003110,751000000
75003200,752000000
75003210,752000000
75009000,752000000
75009100,750000000
75009200,752000000
75100020,753000000
75110010,458003000
75200010,756000000
75200020,753000000
75200030,756000000
75200110,751000000
75200120,756000000
75210010,753000000
75300010,753000000
75300020,752000000
75300110,756000000
75300120,458003000
75400000,753000000
75400010,752000000
75400020,751000000
75401000,458003000
75410000,458003000
75600010,751000000
75600020,752000000
75610010,756000000
75700000,751000000
75700010,458003000
75700020,458003000
75700030,458003000
75800000,756000000
75800010,753000000
75801000,752000000
75802000,752000000
75802010,458003000
75809000,750000000
75809100,756000000
75809200,756000000
76000000,751000000
76000010,750000000
76001000,752000000
76001010,751000000
76002000,753000000
76009000,756000000
76100000,517000000
76100010,517000000
76100020,517000000
76109000,517000100
76200000,751000000
76200010,753000000
76200020,756000000
76200030,751000000
76200040,458003000
76200050,750000000
76200060,756000000
76200070,458003000
76200110,751000000
76200210,458003000
76200220,750000000
76200230,750000000
76200240,756000000
76200250,753000000
76200260,750000000
76200270,753000000
76200310,458003000
76200320,752000000
76200330,751000000
76200340,750000000
76200350,751000000
76200360,753000000
76200370,750000000
76209000,751000000
76209010,458003000
76209020,751000000
76209030,753000000
76209050,750000000
76600000,517000000
76600010,517000200
77009000,458003000
77109000,502000000
77200000,27700900
78200000,300000000
78209000,22500000
79000000,27700900
79000020,27700900
79009000,300000000
79100000,502000100
79100010,27700900
79100020,300000000
79109000,458003000
79200000,356000000
79209000,300000000
79300000,22500000
79300010,356000000
79300100,458003000
79300110,502000000
79301000,27700900
79301100,300000000
